Profile_ID,Faithfulness_SHAP,Faithfulness_SHAP+,Faithfulness_QSHAP+,Stability_SHAP,Stability_SHAP+,Stability_QSHAP+,Responsiveness_SHAP,Responsiveness_SHAP+,Responsiveness_QSHAP+,Clarity_SHAP,Clarity_SHAP+,Clarity_QSHAP+,Composite_SHAP,Composite_SHAP+,Composite_QSHAP+
1,31.42,31.88,34.86,80.52,89.09,85.19,8.34,8.34,13.31,4.53,4.76,4.57,53.38,57.01,56.97
2,31.42,31.88,34.86,80.52,89.09,85.19,8.34,8.34,13.31,4.53,4.76,4.57,53.38,57.01,56.97
3,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
4,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
5,33.91,33.29,16.9,80.16,85.4,84.86,9.93,9.93,2.49,4.76,4.52,4.96,55.25,55.69,50.87
6,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
7,5.37,18.2,31.86,83.45,87.04,77.56,2.7,2.7,5.04,4.77,4.94,4.71,46.26,51.87,52.65
8,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
9,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
10,33.91,33.29,16.9,80.16,85.4,84.86,9.93,9.93,2.49,4.76,4.52,4.96,55.25,55.69,50.87
11,22.5,33.29,34.13,73.13,83.04,76.12,6.56,6.56,6.03,4.17,4.62,4.59,46.68,54.7,52.63
12,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
13,20.86,31.88,35.29,72.02,83.57,79.15,7.4,7.4,15.36,4.19,4.69,4.63,46.11,54.88,55.92
14,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
15,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
16,5.37,18.2,31.86,83.45,87.04,77.56,2.7,2.7,5.04,4.77,4.94,4.71,46.26,51.87,52.65
17,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
18,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
19,33.91,33.29,16.9,80.16,85.4,84.86,9.93,9.93,2.49,4.76,4.52,4.96,55.25,55.69,50.87
20,31.42,31.88,34.86,80.52,89.09,85.19,8.34,8.34,13.31,4.53,4.76,4.57,53.38,57.01,56.97
21,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
22,14.91,25.52,10.98,77.68,89.74,85.95,3.93,3.93,1.17,4.46,4.86,4.99,46.41,54.79,49.27
23,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
24,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
25,13.36,27.01,35.29,76.98,89.44,85.89,7.77,7.77,12.56,4.3,4.75,4.46,45.84,55.49,56.69
26,18.82,30.65,36.48,74.71,87.24,75.96,5.23,5.23,16.46,4.27,4.8,4.5,46.2,55.62,55.02
27,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
28,13.36,27.01,35.29,76.98,89.44,85.89,7.77,7.77,12.56,4.3,4.75,4.46,45.84,55.49,56.69
29,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
30,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
31,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
32,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
33,13.36,27.01,35.29,76.98,89.44,85.89,7.77,7.77,12.56,4.3,4.75,4.46,45.84,55.49,56.69
34,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
35,5.37,18.2,31.86,83.45,87.04,77.56,2.7,2.7,5.04,4.77,4.94,4.71,46.26,51.87,52.65
36,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
37,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
38,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
39,20.86,31.88,35.29,72.02,83.57,79.15,7.4,7.4,15.36,4.19,4.69,4.63,46.11,54.88,55.92
40,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
41,14.91,25.52,10.98,77.68,89.74,85.95,3.93,3.93,1.17,4.46,4.86,4.99,46.41,54.79,49.27
42,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
43,20.86,31.88,35.29,72.02,83.57,79.15,7.4,7.4,15.36,4.19,4.69,4.63,46.11,54.88,55.92
44,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
45,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
46,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
47,14.91,25.52,10.98,77.68,89.74,85.95,3.93,3.93,1.17,4.46,4.86,4.99,46.41,54.79,49.27
48,13.36,27.01,35.29,76.98,89.44,85.89,7.77,7.77,12.56,4.3,4.75,4.46,45.84,55.49,56.69
49,18.02,30.23,35.43,74.77,92.51,85.69,5.44,5.44,12.65,4.13,4.87,4.52,45.46,57.38,56.96
50,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
51,28.42,30.23,34.86,82.82,93.06,83.39,6.47,6.47,14.52,4.81,4.76,4.19,53.91,57.33,55.15
52,13.36,27.01,35.29,76.98,89.44,85.89,7.77,7.77,12.56,4.3,4.75,4.46,45.84,55.49,56.69
53,21.82,25.52,28.64,84.99,90.9,85.28,5.99,5.99,4.98,4.73,4.78,4.79,52.16,55.23,54.33
54,11.54,21.33,13.64,81.06,92.75,85.38,3.15,3.15,1.4,4.51,4.97,4.99,46.46,54.74,49.93
